Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
2008-01-12 00:00:00,2026-04-24 09:44:00,1.502,0.074,240.17,6.4,0,0,18
2006-12-17 00:00:00,2026-04-24 23:39:00,0.374,0.264,245.5,1.8,0,2,0
2009-03-06 00:00:00,2026-04-24 17:01:00,0.62,0.3,239.85,3,0,1,1
2007-09-05 00:00:00,2026-04-24 05:53:00,0.28,0.2,235.72,1.4,0,0,0
2008-12-14 00:00:00,2026-04-24 02:57:00,1.372,0.054,243.95,5.6,0,0,18
2007-06-22 00:00:00,2026-04-24 16:36:00,0.284,0.254,241.54,1.6,0,1,0
2009-11-08 00:00:00,2026-04-24 17:48:00,0.196,0.068,244.52,0.8,0,0,1
2008-10-05 00:00:00,2026-04-24 18:46:00,2.234,0.27,239.05,9.4,0,0,29
2009-08-12 00:00:00,2026-04-24 15:25:00,0.486,0.12,249.24,2,0,2,0
2010-04-01 00:00:00,2026-04-24 22:31:00,1.842,0.12,245.22,7.4,0,0,19
2010-06-22 00:00:00,2026-04-24 21:20:00,0.752,0.102,242.2,3.2,1,0,1
2010-10-25 00:00:00,2026-04-24 07:51:00,2.192,0,238.17,9.2,0,0,18
2009-11-17 00:00:00,2026-04-24 11:55:00,1.308,0,242.32,5.4,0,0,19
2008-05-05 00:00:00,2026-04-24 15:37:00,0.424,0.226,242.65,2,0,0,1
2008-02-18 00:00:00,2026-04-24 09:04:00,1.288,0,239.65,5.2,0,0,17
2010-01-31 00:00:00,2026-04-24 10:11:00,0.522,0,241.34,2.2,0,0,1
2007-09-18 00:00:00,2026-04-24 09:21:00,0.276,0.112,237.02,1.2,1,0,0
2007-08-01 00:00:00,2026-04-24 11:12:00,1.432,0.248,238.36,6,0,0,17
2008-04-24 00:00:00,2026-04-24 08:13:00,1.288,0,237.54,5.4,0,0,18
2009-04-08 00:00:00,2026-04-24 18:26:00,0.314,0.246,243.17,1.6,0,0,1
2009-08-27 00:00:00,2026-04-24 01:42:00,0.708,0.388,241.67,3.6,0,2,5
2009-08-15 00:00:00,2026-04-24 11:11:00,0.478,0.366,242.97,2.4,0,3,0
2010-10-27 00:00:00,2026-04-24 13:21:00,0.596,0,246.63,2.6,0,0,0
2009-04-11 00:00:00,2026-04-24 20:29:00,1.378,0.048,239.1,5.6,0,0,19
2010-02-26 00:00:00,2026-04-24 13:51:00,4.762,0.55,235.53,20.4,0,30,18
2008-07-03 00:00:00,2026-04-24 13:21:00,1.762,0.464,240.54,7.6,0,0,17
2008-05-03 00:00:00,2026-04-24 11:46:00,0.322,0.112,244.36,1.4,0,0,0
2007-02-15 00:00:00,2026-04-24 22:05:00,2.832,0.06,237.45,12,0,0,18
2009-12-25 00:00:00,2026-04-24 22:46:00,1.538,0.078,244.82,6.2,0,0,19
2008-01-20 00:00:00,2026-04-24 14:41:00,1.47,0,241.01,6.2,0,0,18
2010-07-13 00:00:00,2026-04-24 03:36:00,0.27,0.122,240.1,1.2,0,0,1
2010-08-31 00:00:00,2026-04-24 00:41:00,0.308,0.052,243.29,1.6,0,0,1
2010-07-05 00:00:00,2026-04-24 07:45:00,3.412,0.076,229.35,14.8,35,0,16
2010-04-17 00:00:00,2026-04-24 03:09:00,0.964,0.428,242.78,4.4,0,1,10
2008-04-25 00:00:00,2026-04-24 23:33:00,0.346,0.114,243.9,1.4,0,0,0
2010-12-07 00:00:00,2026-04-24 20:04:00,2.642,0.214,240.17,11,38,0,1
2009-05-09 00:00:00,2026-04-24 08:50:00,1.342,0.086,240.27,5.6,0,1,18
2010-02-16 00:00:00,2026-04-24 22:32:00,0.492,0,241.13,2,0,0,1
2010-11-23 00:00:00,2026-04-24 18:55:00,2.856,0.088,234.34,13.2,15,0,0
